,dates,urate_ue
0,1976-01-31,0.06473371740702201
1,1976-02-29,0.06218661642447674
2,1976-03-31,0.05910579642477614
3,1976-04-30,0.061916160818007944
4,1976-05-31,0.06387135086219824
5,1976-06-30,0.053133395283473675
6,1976-07-31,0.06250823645507696
7,1976-08-31,0.058676233220994675
8,1976-09-30,0.060142441333256906
9,1976-10-31,0.06370618031415727
10,1976-11-30,0.06028577630498529
11,1976-12-31,0.06568936298904872
12,1977-01-31,0.06379618648144439
13,1977-02-28,0.05643338810035758
14,1977-03-31,0.05476200709514888
15,1977-04-30,0.05907245722494301
16,1977-05-31,0.056144092129488316
17,1977-06-30,0.0535934849799776
18,1977-07-31,0.05752656026563164
19,1977-08-31,0.05478776799336255
20,1977-09-30,0.056391313811659516
21,1977-10-31,0.06099963495217164
22,1977-11-30,0.052856397726450274
23,1977-12-31,0.05292931501909371
24,1978-01-31,0.05300243377369161
25,1978-02-28,0.057796946794920735
26,1978-03-31,0.051928887458086395
27,1978-04-30,0.05442352151776157
28,1978-05-31,0.049272048920413265
29,1978-06-30,0.054920435737255566
30,1978-07-31,0.05419637227742037
31,1978-08-31,0.0485122527512213
32,1978-09-30,0.05066650236842766
33,1978-10-31,0.05076473339689432
34,1978-11-30,0.062083639239628376
35,1978-12-31,0.056982832191278504
36,1979-01-31,0.053198586563068376
37,1979-02-28,0.05430471502262495
38,1979-03-31,0.055930481540947256
39,1979-04-30,0.050209384649802
40,1979-05-31,0.04804603675283342
41,1979-06-30,0.04954816409282632
42,1979-07-31,0.05448282690756511
43,1979-08-31,0.05101461326743943
44,1979-09-30,0.05324195325640392
45,1979-10-31,0.05058877738702231
46,1979-11-30,0.057643134390235384
47,1979-12-31,0.06145829068091679
48,1980-01-31,0.053552264964558845
49,1980-02-29,0.05899979629546484
50,1980-03-31,0.05970271942987956
51,1980-04-30,0.055045056936255894
52,1980-05-31,0.05930841803151363
53,1980-06-30,0.057761337115021245
54,1980-07-31,0.05646719197910611
55,1980-08-31,0.057897312886964765
56,1980-09-30,0.055517643429581265
57,1980-10-31,0.0602263347501064
58,1980-11-30,0.05859102303618218
59,1980-12-31,0.06427639747467291
60,1981-01-31,0.06399473588579097
61,1981-02-28,0.06008210543298568
62,1981-03-31,0.056253677727145915
63,1981-04-30,0.06258920022508706
64,1981-05-31,0.059957249521672626
65,1981-06-30,0.05435653725281966
66,1981-07-31,0.06327949322182086
67,1981-08-31,0.0619364156059633
68,1981-09-30,0.05708712140284737
69,1981-10-31,0.06295912570457798
70,1981-11-30,0.06351212486986828
71,1981-12-31,0.06653002266823814
72,1982-01-31,0.06765018752155784
73,1982-02-28,0.0659990849740939
74,1982-03-31,0.06598395210682945
75,1982-04-30,0.06657996573398227
76,1982-05-31,0.06918429088359498
77,1982-06-30,0.06425473783568969
78,1982-07-31,0.06963552876303125
79,1982-08-31,0.0678086254141398
80,1982-09-30,0.0709535803950306
81,1982-10-31,0.07706819837033752
82,1982-11-30,0.069867151378176
83,1982-12-31,0.07439505201762886
84,1983-01-31,0.07573089830877594
85,1983-02-28,0.07317246436404164
86,1983-03-31,0.07037647984758312
87,1983-04-30,0.07134109868239291
88,1983-05-31,0.06572165241190353
89,1983-06-30,0.06511667406826373
90,1983-07-31,0.06722127238972489
91,1983-08-31,0.06384482950996086
92,1983-09-30,0.06810180447472929
93,1983-10-31,0.0648947409838541
94,1983-11-30,0.06450472209245657
95,1983-12-31,0.06517787682764836
96,1984-01-31,0.061259573662192195
97,1984-02-29,0.06368000118662455
98,1984-03-31,0.06401880426220855
99,1984-04-30,0.06303505987555476
100,1984-05-31,0.05628166373379956
101,1984-06-30,0.05920944315800243
102,1984-07-31,0.05822909584662364
103,1984-08-31,0.06361412394982541
104,1984-09-30,0.05999298525332781
105,1984-10-31,0.058807345245272605
106,1984-11-30,0.06632052606495452
107,1984-12-31,0.06226933605486084
108,1985-01-31,0.056802104321145255
109,1985-02-28,0.05766122571516127
110,1985-03-31,0.060897268801134906
111,1985-04-30,0.05646326117485434
112,1985-05-31,0.05987075459299728
113,1985-06-30,0.05879039012790673
114,1985-07-31,0.0577483247915432
115,1985-08-31,0.05903611966709214
116,1985-09-30,0.058325052672082114
117,1985-10-31,0.05763091086801882
118,1985-11-30,0.06443769666120235
119,1985-12-31,0.0544546319727871
120,1986-01-31,0.0628267078727132
121,1986-02-28,0.05921548116331639
122,1986-03-31,0.061003939140291175
123,1986-04-30,0.05825678578660242
124,1986-05-31,0.05931392398243041
125,1986-06-30,0.0599033661627244
126,1986-07-31,0.05753922522724133
127,1986-08-31,0.0629578239298857
128,1986-09-30,0.057545956727142175
129,1986-10-31,0.059146970885305926
130,1986-11-30,0.05628319840488528
131,1986-12-31,0.057628582765523816
132,1987-01-31,0.06085983129096045
133,1987-02-28,0.05850736982038619
134,1987-03-31,0.054059605981068605
135,1987-04-30,0.056735373206993775
136,1987-05-31,0.056314649513670836
137,1987-06-30,0.050609348546858904
138,1987-07-31,0.05976191959960701
139,1987-08-31,0.05625781361889084
140,1987-09-30,0.0534111732302891
141,1987-10-31,0.057608522305349255
142,1987-11-30,0.052790275613915257
143,1987-12-31,0.057336072117099846
144,1988-01-31,0.0562188480484526
145,1988-02-29,0.05653720702870864
146,1988-03-31,0.04929188370686801
147,1988-04-30,0.05527591595258672
148,1988-05-31,0.04961584169782803
149,1988-06-30,0.05180620518430055
150,1988-07-31,0.05549415213426405
151,1988-08-31,0.05075244074294909
152,1988-09-30,0.05524531359050644
153,1988-10-31,0.05814002604872897
154,1988-11-30,0.05328949568961526
