,dates,urate_eu
0,1976-01-31,0.058348599306771165
1,1976-02-29,0.06139361413979082
2,1976-03-31,0.058853139014164654
3,1976-04-30,0.05664913019811918
4,1976-05-31,0.059526725089291445
5,1976-06-30,0.06731508527528222
6,1976-07-31,0.06056771297284051
7,1976-08-31,0.06401020300072807
8,1976-09-30,0.06261635679310491
9,1976-10-31,0.06335469129072477
10,1976-11-30,0.06422169130936993
11,1976-12-31,0.0618424637445439
12,1977-01-31,0.064860753727391
13,1977-02-28,0.06134401688408328
14,1977-03-31,0.05757858125388803
15,1977-04-30,0.056100856090958724
16,1977-05-31,0.0634251964938597
17,1977-06-30,0.06221097213510997
18,1977-07-31,0.06175433805075592
19,1977-08-31,0.06474596340288306
20,1977-09-30,0.06142556256040051
21,1977-10-31,0.05987216330245721
22,1977-11-30,0.06126372852233955
23,1977-12-31,0.06178574867074184
24,1978-01-31,0.06230718856334492
25,1978-02-28,0.058009318570939626
26,1978-03-31,0.05461588311245004
27,1978-04-30,0.05629938524028659
28,1978-05-31,0.05911363501905056
29,1978-06-30,0.06269266668388619
30,1978-07-31,0.05841946338473955
31,1978-08-31,0.06691506616838627
32,1978-09-30,0.05938986217335015
33,1978-10-31,0.05970665990067361
34,1978-11-30,0.056081794073578585
35,1978-12-31,0.05958536167654837
36,1979-01-31,0.060944991723797776
37,1979-02-28,0.05590475724844045
38,1979-03-31,0.056129507622072444
39,1979-04-30,0.057633931730098356
40,1979-05-31,0.06297714850984204
41,1979-06-30,0.06111110065270785
42,1979-07-31,0.06326905693228041
43,1979-08-31,0.0608069372957035
44,1979-09-30,0.06158074368922017
45,1979-10-31,0.06693040989543254
46,1979-11-30,0.05480947731445251
47,1979-12-31,0.06321495964781107
48,1980-01-31,0.06647252157763336
49,1980-02-29,0.060300139133251225
50,1980-03-31,0.06616647528028469
51,1980-04-30,0.07528992724555696
52,1980-05-31,0.06565713180431354
53,1980-06-30,0.06801775931709007
54,1980-07-31,0.07091087645045002
55,1980-08-31,0.06553594495555252
56,1980-09-30,0.0684183547423507
57,1980-10-31,0.061847635620723734
58,1980-11-30,0.06281602784221453
59,1980-12-31,0.06458681480261066
60,1981-01-31,0.062148701015040865
61,1981-02-28,0.06440097819420001
62,1981-03-31,0.0612184408243518
63,1981-04-30,0.06298879477796449
64,1981-05-31,0.06310214869042952
65,1981-06-30,0.06519074440203951
66,1981-07-31,0.06271739062433734
67,1981-08-31,0.06829011226189666
68,1981-09-30,0.07391693486683457
69,1981-10-31,0.07267130862258002
70,1981-11-30,0.07582909615607403
71,1981-12-31,0.071460206397776
72,1982-01-31,0.06726217755814047
73,1982-02-28,0.0733079365476
74,1982-03-31,0.07125097494230258
75,1982-04-30,0.06930633595200995
76,1982-05-31,0.06853460408021608
77,1982-06-30,0.07460796428722137
78,1982-07-31,0.0685790352882143
79,1982-08-31,0.07931378971574965
80,1982-09-30,0.07538445784838717
81,1982-10-31,0.073682889920023
82,1982-11-30,0.07301113698712706
83,1982-12-31,0.06786058439381369
84,1983-01-31,0.06603093561164754
85,1983-02-28,0.0662026817030869
86,1983-03-31,0.06502276185467652
87,1983-04-30,0.06260080548207934
88,1983-05-31,0.06851959813562895
89,1983-06-30,0.06598230103127888
90,1983-07-31,0.06755091614160658
91,1983-08-31,0.06991274502151697
92,1983-09-30,0.06738121143597572
93,1983-10-31,0.06516973410344393
94,1983-11-30,0.06674845323435523
95,1983-12-31,0.06276181766807157
96,1984-01-31,0.06590099951616536
97,1984-02-29,0.06168161086570836
98,1984-03-31,0.055548521497218555
99,1984-04-30,0.05908807122153461
100,1984-05-31,0.06342355073473772
101,1984-06-30,0.062450852551466735
102,1984-07-31,0.06875346446042026
103,1984-08-31,0.06417428468860005
104,1984-09-30,0.06582987479244155
105,1984-10-31,0.06630977259412928
106,1984-11-30,0.0596198969985193
107,1984-12-31,0.06550391601856576
108,1985-01-31,0.06703279265288194
109,1985-02-28,0.0624616565355645
110,1985-03-31,0.06170709006087493
111,1985-04-30,0.0674390088231146
112,1985-05-31,0.06431487463023863
113,1985-06-30,0.06550442848338824
114,1985-07-31,0.06669096157314028
115,1985-08-31,0.06711706955956946
116,1985-09-30,0.06723776861267533
117,1985-10-31,0.06735843643704645
118,1985-11-30,0.0587331261195582
119,1985-12-31,0.06477877830317827
120,1986-01-31,0.06395586055071915
121,1986-02-28,0.0636641588873411
122,1986-03-31,0.058899873326148613
123,1986-04-30,0.06796645950966279
124,1986-05-31,0.05972984939254954
125,1986-06-30,0.062671051722554
126,1986-07-31,0.06294270717847195
127,1986-08-31,0.0624084912222239
128,1986-09-30,0.06877993699852294
129,1986-10-31,0.06393555258338651
130,1986-11-30,0.0631875599507065
131,1986-12-31,0.06122445370183447
132,1987-01-31,0.06242396903154139
133,1987-02-28,0.06307332938919356
134,1987-03-31,0.05775240284817157
135,1987-04-30,0.0593047898900792
136,1987-05-31,0.05849546722139921
137,1987-06-30,0.06243947676323832
138,1987-07-31,0.05806759780174978
139,1987-08-31,0.0611343969462159
140,1987-09-30,0.06299098077457672
141,1987-10-31,0.05770065753061832
142,1987-11-30,0.06225385517888835
143,1987-12-31,0.05995621640571253
144,1988-01-31,0.057650564534541066
145,1988-02-29,0.05815477632545955
146,1988-03-31,0.058036430286242335
147,1988-04-30,0.05940954226487406
148,1988-05-31,0.057154008291961926
149,1988-06-30,0.05616385833114489
150,1988-07-31,0.0577231464322275
151,1988-08-31,0.06237190308865339
152,1988-09-30,0.059899974545994265
153,1988-10-31,0.05595807563045556
154,1988-11-30,0.05743630373949672
